AGI,Tissue1,Tissue2,Tissue3,Tissue4,Tissue5,Tissue6,Tissue7,Tissue8,Tissue9,Tissue10,Tissue11,Tissue12,Tissue13,Tissue14,Tissue15,Tissue16,Tissue17,Tissue18,Tissue19,Tissue20,Tissue21,Tissue22,Tissue23,Tissue24,Tissue25,Tissue26,Tissue27,Tissue28,Tissue29,Tissue30,Tissue31
TF47,6.05,15.455,35.92,431.28,9.55,3.745,4.115,5.13,22.935,11.33,248.33,5.975,3.855,3.775,4.97,5.11,222.525,6.59,4.63,3.41,5.18,4.09,132.525,6.47,4.575,4.23,4.165,4.29,5.195,4.185,4.155
TF48,4.92,8.125,97.775,4.81,3.275,5.525,4.57,5.7,6.575,64,10.415,3.525,5.43,3.595,3.24,4.65,5.395,5.075,3.665,3.795,4.255,3.72,3.625,3.715,3.425,4.27,3.76,4.465,4.035,3.35,6.74
TF49,102.15,815.83,828.695,655.35,7.795,11.405,24.125,209.36,743.145,680.2,285.31,16.585,15,14.12,143.155,114.08,153.97,7.715,7.945,3.285,14.55,4.355,17.78,14.01,10.97,3.2,4.735,3.87,4.67,3.885,4.815
TF50,8.07,16.185,87.48,187.61,5.66,6.52,7.745,10.66,34.025,62.145,110.68,12.49,8.485,5.28,7.89,10.935,110.63,10.36,5.825,8.515,9.8,20.6,395.885,15.84,7.985,5.98,5.4,7.7,24.16,19.77,9.96
TF51,8.995,203.335,72.47,75.775,8.925,5.235,7.5,37.395,82.945,194.075,103.48,12.855,10.41,75.39,373.39,751.785,145.67,8.36,18.56,3.23,11.335,53.47,172.33,51.84,34.15,4.565,5.135,5.99,4.465,4.01,5.76
TF52,7.07,10.34,132.75,17.445,4.01,6.115,4.415,4.165,4.57,73.89,67.365,9.125,6.295,4.045,12.48,6.22,258.175,9.625,3.7,4.59,4.105,4.95,4.625,4.15,4.575,3.735,4.26,4.54,3.955,4.535,5.505
TF53,3.555,10.73,3.91,833.59,14.05,4.02,3.04,9.58,57.635,10.385,957.96,48.84,5.545,2.465,5.435,4.405,955.24,16.71,3.325,3.35,3.085,3.285,27.675,7.535,20.34,3.515,3.605,3.375,4.3,3.19,3.61
TF54,18.445,96.965,284.4,752.265,9.965,15.765,7.445,7.21,11.03,47.255,223.59,17.305,6.17,5.16,12.745,7.425,231.04,6.855,6.885,6.29,6.34,6.245,5.36,6.52,5.25,6.23,5.93,6.605,6.585,5.345,7.975
TF55,5.665,34.585,214.635,312.9,4.375,4.495,3.965,8.415,45.565,93.145,164.62,6.1,3.745,3.24,3.635,3.18,10.72,3.61,2.73,3.58,2.775,3.14,3.335,2.805,2.94,2.775,3.31,2.615,4.115,3.875,2.85
TF56,23.5,318.26,8.245,6.185,3.435,3.845,8.18,18.54,124.035,4.71,6.085,4.02,4.075,3.995,5.135,4.3,6.25,4.435,3.755,3.95,4.21,4.45,5.54,4.175,4.135,4.39,3.94,4.775,4.675,4.325,5.445
TF57,2.865,6.395,3.14,456.825,9.235,3.095,3.35,2.595,3.97,3.605,479.52,34.37,3.15,2.775,2.985,2.95,609.035,26.87,2.835,2.81,2.695,4.155,196.465,21.15,6.845,2.865,3,2.615,3.31,3.14,2.84
TF58,8.87,15.275,152.835,745.855,8.315,6.77,5.25,4.775,14.3,68.625,647.07,21.235,13.005,3.79,3.91,4.155,636.48,13.795,6.955,4.075,3.97,4.94,11.345,5.585,6.625,5.15,5.67,4.695,3.97,3.815,5.225
TF59,5.675,7.01,10.485,219.25,5.55,4.185,3.875,4.33,6.785,7.505,348.96,12.055,6.285,3.47,6.93,6.93,263.6,4.19,4.48,3.885,4.25,5.07,9.605,5.465,5.305,5.18,3.97,4.73,3.955,3.755,4.45
TF60,19.805,385.59,16.745,21.865,12.645,12.015,35.98,389.24,1016.86,13.765,22.21,13.825,10.97,11.44,20.07,12.38,19.715,13.24,12.04,13.66,16.07,12.015,13.56,12.925,12.46,18.965,16.73,14.38,11.605,12.84,20.005
TF61,15.585,28.155,168.705,521.2,8.985,4.65,4.665,4.12,10.475,93.025,408.265,44.485,15.15,3.1,11.58,5.94,157.085,4.315,3.75,3.16,3.98,3.58,5.025,4.1,3.625,3.47,4.24,3.515,3.28,3.83,4.005
TF62,5.685,8.7,199.445,83.965,3.595,4.42,3.985,3.77,7.755,143.145,120.04,10.015,6.39,2.575,5.335,4.7,122.905,3.56,2.57,2.825,2.925,2.705,3.645,3.75,3.22,3.35,3.61,2.845,2.965,2.68,3.29
TF63,24.365,30.3,467.07,100.43,2.855,8.075,3.455,4.225,16.96,260.395,152.815,2.99,6.625,2.545,3.16,5.04,11.335,3.04,2.37,2.73,2.805,3.06,2.89,3.055,2.88,2.66,2.66,2.66,2.975,3.08,2.98
TF64,5.455,6.725,12.34,97.165,5.89,3.985,5.38,7.36,15.535,5.94,269.675,14.675,5.45,5.17,6.39,4.345,557.145,9.7,5.275,5.245,6.48,6.085,69.37,22.73,6.845,5.76,5.125,6.595,5.815,5.67,7.555
TF65,7.055,10.725,79.9,481.595,6.805,5.805,4.72,7.23,8.845,42,815.445,17.53,8.265,3.435,5.135,6.65,914.51,15.775,6.485,4.72,5.51,6.15,195.385,16.785,11.665,4.055,3.3,3.905,5.57,4.265,6.195
TF66,6.885,99.33,74.41,45.135,6.07,6.11,8.62,84.105,404.93,126.51,155.86,8.87,7.795,11.285,43.845,110.03,447.04,6,5.565,6.48,5.365,10.445,628.49,24.095,9.2,6.085,5.86,4.76,7.275,5.31,6.83
TF67,18.39,275.82,10.82,8.875,5.315,4.01,24.305,158.305,693.26,30.735,18.715,4.735,5.435,136.255,941.705,491.89,25.225,6.125,14.875,11.78,854.42,490.915,268.045,36.035,118.35,7.81,613.395,493,556.91,53.43,50.1
TF68,18.59,117.625,10.345,324.02,12.72,5.055,8.84,25.775,97.8,13.915,361.18,10.49,7.08,10.42,13.17,9.335,220.1,7.825,9.085,7.76,6.73,7.355,53.125,7.7,9.78,5.12,8.85,6.7,6.815,14.005,10.74
TF69,4.07,59.775,7.95,4.92,2.825,2.905,3.09,10.11,33.64,5.335,3.94,3.005,2.6,2.335,3.52,2.78,9.53,2.905,3.075,2.775,2.835,3.03,3.365,3.24,2.76,2.615,2.795,2.87,2.55,2.735,2.87
TF70,3.165,11.215,8.2,40.44,3.03,4.29,4.45,5.51,20.475,42.9,48.285,4.615,4.36,5.04,23.085,14.425,49.525,5.365,4.445,3.46,29.12,9.77,62.68,10.235,29.045,4.615,7.4,10.665,35.53,7.045,5.745
TF71,3.755,4.565,4.005,127.77,4,3.86,3.655,3.49,4.02,4.26,192.115,9.41,3.695,3.165,4.045,3.665,444.72,16.8,3.565,4.005,3.415,3.89,328.565,17.085,3.75,3.34,3.65,3.6,3.555,2.84,4.015
TF72,3.56,3.93,3.44,59.505,3.08,4.08,3.74,4.145,5.425,3.495,58.97,3.885,3.095,3.16,3.33,3.8,18.15,3.52,3.9,3.48,3.665,3.335,23.89,5.21,4.09,3.195,3.395,4.01,7.42,5.485,3.795
TF73,9.845,29.215,53.885,709.71,17.02,6.38,10.465,83.575,259.96,110.175,482.395,20.33,7.895,19.895,228.51,239.895,567.575,15.485,8.645,3.785,43.08,21.825,175.12,34.985,30.25,6.9,44.075,41.435,39.335,5.11,7.005
TF74,20.92,191.285,30.295,17.56,6.805,8.23,12.6,52.965,252.31,28.6,10.775,7.86,9.255,6.645,8.465,7.13,11.16,7.7,7.005,7.045,7.06,8.745,7.635,7.87,6.435,9.575,6.835,8.185,6.555,7.09,8.395
TF75,13.985,186.345,24.28,13.43,7.095,7.645,23.28,108.235,335.255,50.645,11.51,7.93,14.325,41.01,272.24,69.865,11.155,10.47,8.615,33.475,263.345,123.56,16.82,7.165,14.85,6.58,25.395,24.29,88.325,8.505,9.9
